,Name,Ticker,Asset_Type,Price,Date,Time
95,Alphabet Class A,GOOGL,Stock,299.70433558250056,2026-08-13,19:19:05
119,Amazon,AMZN,Stock,230.21125272789487,2026-08-13,19:19:05
143,Meta Platforms,META,Stock,510.5033071751776,2026-08-13,19:19:05
167,Tesla,TSLA,Stock,291.7000697803521,2026-08-13,19:19:05
191,Broadcom,AVGO,Stock,366.07549303695464,2026-08-13,19:19:05
215,Oracle,ORCL,Stock,133.80028677140265,2026-08-13,19:19:05
239,Adobe,ADBE,Stock,222.8704076516482,2026-08-13,19:19:05
575,Mastercard,MA,Stock,486.850458120934,2026-08-13,19:19:05
263,Salesforce,CRM,Stock,166.67593570283287,2026-08-13,19:19:05
311,Netflix,NFLX,Stock,66.91506294187762,2026-08-13,19:19:05
335,Intel,INTC,Stock,91.62323737414984,2026-08-13,19:19:05
359,Cisco Systems,CSCO,Stock,98.1323585448884,2026-08-13,19:19:05
383,IBM,IBM,Stock,204.3730294287005,2026-08-13,19:19:05
407,Qualcomm,QCOM,Stock,143.61265722547117,2026-08-13,19:19:05
431,Texas Instruments,TXN,Stock,240.96886803863453,2026-08-13,19:19:05
455,ServiceNow,NOW,Stock,106.52251486321501,2026-08-13,19:19:05
479,Intuit,INTU,Stock,294.0718756235004,2026-08-13,19:19:05
503,Berkshire Hathaway,BRK-B,Stock,439.8048300409068,2026-08-13,19:19:05
527,JPMorgan Chase,JPM,Stock,315.1491659955692,2026-08-13,19:19:05
287,Advanced Micro Devices,AMD,Stock,429.73577705849453,2026-08-13,19:19:05
2471,Royal Bank of Canada,RY,Stock,185.99705868062412,2026-08-13,19:19:05
1199,Comcast,CMCSA,Stock,22.460480440308853,2026-08-13,19:19:05
1247,Chevron,CVX,Stock,171.19404044779344,2026-08-13,19:19:05
1919,Shell,SHEL,Stock,77.82252881928542,2026-08-13,19:19:05
1943,AstraZeneca,AZN,Stock,136.97424205615303,2026-08-13,19:19:05
1967,Unilever,UL,Stock,54.15664252094186,2026-08-13,19:19:05
1991,Nestlé,NESN.SW,Stock,70.30390614904464,2026-08-13,19:19:05
2015,LVMH,MC.PA,Stock,398.9120136955571,2026-08-13,19:19:05
2039,L'Oréal,OR.PA,Stock,332.39776082603396,2026-08-13,19:19:05
2063,Siemens,SIE.DE,Stock,246.37153375146409,2026-08-13,19:19:05
2087,Allianz,ALV.DE,Stock,379.6601624486598,2026-08-13,19:19:05
2111,Sanofi,SAN.PA,Stock,66.28009854019503,2026-08-13,19:19:05
2135,TotalEnergies,TTE,Stock,75.44640259024668,2026-08-13,19:19:05
1895,SAP,SAP,Stock,175.68605085592063,2026-08-13,19:19:05
2159,BP,BP,Stock,37.13784193664771,2026-08-13,19:19:05
2207,Rio Tinto,RIO,Stock,85.58405906622517,2026-08-13,19:19:05
2231,BHP Group,BHP,Stock,76.40899515259154,2026-08-13,19:19:05
2255,Deutsche Telekom,DTE.DE,Stock,24.645824912309358,2026-08-13,19:19:05
2279,Iberdrola,IBE.MC,Stock,17.604159942769773,2026-08-13,19:19:05
2303,Toyota,TM,Stock,163.2027159546831,2026-08-13,19:19:05
2327,Sony Group,SONY,Stock,20.308958039782038,2026-08-13,19:19:05
2351,Mitsubishi UFJ Financial Group,MUFG,Stock,20.071345086067602,2026-08-13,19:19:05
2375,Sumitomo Mitsui Financial Group,SMFG,Stock,22.850721115327797,2026-08-13,19:19:05
2399,Nintendo,NTDOY,Stock,11.308288355158215,2026-08-13,19:19:05
2423,Honda,HMC,Stock,27.008945324251204,2026-08-13,19:19:05
2183,HSBC,HSBC,Stock,90.21481803868623,2026-08-13,19:19:05
1223,Exxon Mobil,XOM,Stock,137.78074496470148,2026-08-13,19:19:05
1871,Novo Nordisk,NVO,Stock,39.86952004556915,2026-08-13,19:19:05
1823,NetEase,NTES,Stock,105.83309242743618,2026-08-13,19:19:05
1271,Caterpillar,CAT,Stock,748.4282946405589,2026-08-13,19:19:05
1319,Honeywell,HON,Stock,202.6299621325289,2026-08-13,19:19:05
1343,UPS,UPS,Stock,91.34218072387553,2026-08-13,19:19:05
1367,General Electric,GE,Stock,313.4407808783227,2026-08-13,19:19:05
1391,Lockheed Martin,LMT,Stock,519.0365787572067,2026-08-13,19:19:05
1415,RTX Corporation,RTX,Stock,191.1048663266899,2026-08-13,19:19:05
1439,Deere & Company,DE,Stock,532.0618872122077,2026-08-13,19:19:05
1463,Philip Morris International,PM,Stock,163.63197573504556,2026-08-13,19:19:05
1487,AT&T,T,Stock,21.242065457071643,2026-08-13,19:19:05
1511,Verizon,VZ,Stock,41.54321636767939,2026-08-13,19:19:05
1847,ASML Holding,ASML,Stock,1623.103637365466,2026-08-13,19:19:05
1535,Linde,LIN,Stock,414.66904988106324,2026-08-13,19:19:05
1583,Lowe's,LOW,Stock,188.10436163383199,2026-08-13,19:19:05
1607,Starbucks,SBUX,Stock,95.2533407214358,2026-08-13,19:19:05
1631,BlackRock,BLK,Stock,1016.3410739558017,2026-08-13,19:19:05
1655,S&P Global,SPGI,Stock,360.1915376591638,2026-08-13,19:19:05
1679,American Tower,AMT,Stock,150.764887353836,2026-08-13,19:19:05
1703,Alibaba,BABA,Stock,105.48187747397193,2026-08-13,19:19:05
1727,Tencent,TCEHY,Stock,48.060224062126224,2026-08-13,19:19:05
1751,Pinduoduo,PDD,Stock,73.2263726312155,2026-08-13,19:19:05
1775,JD.com,JD,Stock,25.12712119348179,2026-08-13,19:19:05
1799,Baidu,BIDU,Stock,90.39692925099321,2026-08-13,19:19:05
1559,Union Pacific,UNP,Stock,258.35190427996497,2026-08-13,19:19:05
2591,Infosys,INFY,Stock,10.60585596715051,2026-08-13,19:19:05
